user,item,dt_days
0,0,386
0,1,219
0,2,219
0,3,208
0,4,208
0,5,208
0,6,208
0,7,191
0,8,191
0,9,184
0,10,177
0,11,176
0,12,176
0,13,176
0,14,176
0,15,176
0,16,176
0,17,175
0,18,175
0,19,175
0,20,175
0,21,175
0,22,175
0,23,175
0,24,174
0,25,174
0,26,174
0,27,174
0,28,174
0,29,174
0,30,174
0,31,174
0,32,174
0,33,174
0,34,174
0,35,174
0,36,174
0,37,174
0,38,174
0,39,174
0,40,174
0,41,174
0,42,174
0,43,173
0,44,173
0,45,173
0,46,173
0,47,173
0,48,171
0,49,170
0,50,170
0,51,169
0,52,147
0,53,147
0,54,147
0,55,147
0,56,147
0,57,147
0,58,147
0,59,147
0,60,147
0,61,147
0,62,147
0,63,147
0,64,147
0,65,146
0,66,146
0,67,143
0,68,143
0,69,142
0,70,142
0,71,135
0,72,135
0,73,135
0,74,135
0,75,135
0,76,135
0,77,135
0,78,135
0,79,135
0,80,135
0,81,119
0,82,119
0,83,119
0,84,114
0,85,103
0,86,101
0,87,100
0,88,100
0,89,100
0,90,100
0,91,100
0,92,100
0,93,100
0,94,100
0,95,100
0,96,100
0,97,100
0,98,100
0,99,100
0,100,100
0,101,100
0,102,100
0,103,100
0,104,98
0,105,98
0,106,98
0,107,98
0,108,98
0,109,95
0,110,90
0,111,90
0,112,90
0,113,87
0,114,82
0,115,79
0,116,68
0,117,40
0,118,26
0,119,25
0,120,24
0,121,22
0,122,17
0,123,10
0,124,10
0,125,3
0,126,0
1,127,568
1,128,489
1,129,489
1,130,488
1,131,488
1,132,453
1,133,446
1,134,444
1,135,444
1,136,444
1,137,443
1,138,437
1,139,388
1,140,388
1,141,368
1,142,368
1,143,365
1,144,331
1,145,230
1,146,229
1,147,229
1,148,229
1,149,229
1,150,229
1,151,229
1,152,229
1,153,229
1,154,229
1,155,96
1,156,96
1,157,47
1,158,23
1,159,18
1,160,13
1,161,11
1,162,10
1,163,9
1,164,9
1,165,9
1,166,9
1,167,9
1,168,8
1,169,7
1,170,6
1,171,1
1,172,0
1,173,0
1,174,0
1,175,0
2,176,421
2,177,211
2,178,190
2,179,168
2,180,136
2,181,94
2,182,84
2,183,79
2,184,71
